Season,TeamName,BoxscoreIndex
2011,San Antonio Spurs,201103270MEM
2011,San Antonio Spurs,201103280SAS
2011,San Antonio Spurs,201103310SAS
2011,San Antonio Spurs,201104010HOU
2011,San Antonio Spurs,201104030SAS
2011,San Antonio Spurs,201104050ATL
2011,San Antonio Spurs,201104060SAS
2011,San Antonio Spurs,201104090SAS
2011,San Antonio Spurs,201104120LAL
2011,San Antonio Spurs,201104130PHO
2011,San Antonio Spurs,201104170SAS
2011,San Antonio Spurs,201104200SAS
2011,San Antonio Spurs,201104230MEM
2011,San Antonio Spurs,201104250MEM
2011,San Antonio Spurs,201104270SAS
2011,San Antonio Spurs,201104290MEM
2011,Golden State Warriors,201010270GSW
2011,Golden State Warriors,201010290GSW
2011,Golden State Warriors,201010310LAL
2011,Golden State Warriors,201011030GSW
2011,Golden State Warriors,201011050GSW
2011,Golden State Warriors,201011070DET
2011,Golden State Warriors,201011080TOR
2011,Golden State Warriors,201011100NYK
2011,Golden State Warriors,201011110CHI
2011,Golden State Warriors,201011130MIL
2011,Golden State Warriors,201011150GSW
2011,Golden State Warriors,201011190GSW
2011,Golden State Warriors,201011210LAL
2011,Golden State Warriors,201011220GSW
2011,Golden State Warriors,201011240HOU
2011,Golden State Warriors,201011260MEM
2011,Golden State Warriors,201011270MIN
2011,Golden State Warriors,201011300GSW
2011,Golden State Warriors,201012020GSW
2011,Golden State Warriors,201012050OKC
2011,Golden State Warriors,201012070DAL
2011,Golden State Warriors,201012080SAS
2011,Golden State Warriors,201012100GSW
2011,Golden State Warriors,201012130UTA
2011,Golden State Warriors,201012140GSW
2011,Golden State Warriors,201012180POR
2011,Golden State Warriors,201012200GSW
2011,Golden State Warriors,201012210SAC
2011,Golden State Warriors,201012250GSW
2011,Golden State Warriors,201012270GSW
2011,Golden State Warriors,201012290ATL
2011,Golden State Warriors,201012310CHA
2011,Golden State Warriors,201101010MIA
2011,Golden State Warriors,201101030ORL
2011,Golden State Warriors,201101050NOH
2011,Golden State Warriors,201101070GSW
2011,Golden State Warriors,201101090LAC
2011,Golden State Warriors,201101120GSW
2011,Golden State Warriors,201101140GSW
2011,Golden State Warriors,201101170GSW
2011,Golden State Warriors,201101190GSW
2011,Golden State Warriors,201101210GSW
2011,Golden State Warriors,201101220LAC
2011,Golden State Warriors,201101240GSW
2011,Golden State Warriors,201101260GSW
2011,Golden State Warriors,201101280GSW
2011,Golden State Warriors,201101300GSW
2011,Golden State Warriors,201102030GSW
